droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
89,True,False,59,0,0.9915071118948566,,0.00011395382983,,1.973873068445461e-06,,,9.94097176718451e-07,1.650826568140686e-05,,,
90,True,False,69,0,0.9985349077342732,,7.320641981058417e-05,,7.259934502715278e-07,,,7.868562120084049e-07,1.6099570208628052e-05,,,
91,True,False,48,0,0.998128280323485,,4.057044094606527e-05,,4.825346612334971e-07,,,5.732278749357791e-07,1.541762822590888e-05,,,
92,False,False,47,0,0.9769669643267131,,4.5799362908626354e-05,,1.6631914346901257e-06,,,6.120866796333232e-07,1.5571810671153376e-05,,,
93,True,False,106,0,0.9978303341303396,,7.516465781676696e-05,,3.086807870299112e-07,,,7.979709079850165e-07,1.6126240290869922e-05,,,
94,True,False,45,0,0.9887416850869912,,5.059047546203289e-05,,1.0461471102126464e-06,,,6.457978512826324e-07,1.5692680225762326e-05,,,
95,False,False,16,0,0.9778020387143664,,3.6784452778489376e-05,,2.227045151328517e-06,,,5.435148487799075e-07,1.528731526702087e-05,,,
96,False,False,22,0,0.9695309959749412,,2.056926650736701e-05,,9.294008149891342e-07,,,3.9447527842471094e-07,1.4401027254852361e-05,,,
97,True,False,62,0,0.9914809431743744,,6.34032223435338e-05,,1.4466404256702716e-06,,,7.288430950932101e-07,1.594885286836712e-05,,,
98,True,False,67,0,0.9989101775296156,,7.375864691127605e-05,,5.562703637088583e-07,,,7.900054128182611e-07,1.6107193927495238e-05,,,
99,False,False,17,0,0.9750619598372284,,6.200717120062019e-05,,1.7111019775242957e-06,,,7.202276608431159e-07,1.592466735137516e-05,,,
100,True,False,19,0,0.9957346847700712,,5.8425144304069e-05,,1.2210263420477156e-06,,,6.976698147493625e-07,1.5858889299409296e-05,,,
101,True,False,81,0,0.9963151649359954,,5.098488225114615e-05,,7.793186743572983e-07,,,6.485008216724221e-07,1.570190463967743e-05,,,
102,True,False,39,0,0.9980174119092374,,4.751649648094975e-05,,5.594424989751544e-07,,,6.243616376173372e-07,1.561711129819224e-05,,,
103,False,False,52,0,0.3185695494092219,,3.642151168683088e-06,,1.1402132817515648e-06,,,1.416493452467298e-07,1.0486821364881038e-05,,,
104,True,False,40,0,0.9823681882150496,,8.882648072651589e-05,,3.625204431422803e-06,,,8.718045936220862e-07,1.6288029414747016e-05,,,
105,True,False,32,0,0.9949503958346012,,7.557663069566541e-05,,1.2092075445302708e-06,,,8.002907804668165e-07,1.6131724470523206e-05,,,
106,False,False,38,0,0.7251626161077402,,4.171193635814021e-06,,7.439265363998912e-07,,,1.5425898593215497e-07,1.0859586468551222e-05,,,
107,False,False,16,0,0.9322055009602052,,1.748949979981212e-05,,1.510130887392802e-06,,,3.601404019523591e-07,1.4116888867816838e-05,,,
108,False,False,29,0,-0.0282982884982343,,7.130919814000755e-07,,3.242726140870146e-07,,,4.626009909818681e-08,5.712684761667101e-06,,,
109,False,False,84,0,0.8978319018073061,,8.664826319632279e-06,,4.493106936184599e-07,,,2.403141253095939e-07,1.2687364885097147e-05,,,
110,True,False,28,0,0.989428705062718,,5.966077305199024e-05,,1.3188323124971726e-06,,,7.0552698104315e-07,1.5882215045600286e-05,,,
111,True,False,90,0,0.9980297429753596,,6.057585569548005e-05,,5.786703415181135e-07,,,7.112937959492478e-07,1.5899050122245e-05,,,
112,True,False,37,0,0.9964822215391718,,7.666554498613359e-05,,9.53608485906358e-07,,,8.063924501897478e-07,1.6146015818082654e-05,,,
GCD_estimate,,,,,,,,,,,,,,1.4673934786957391e-19,,0.9158749713084002
